,Host,Parasite,ParasiteFull,group,hostgroup
81,Chondrostoma nasus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
82,Chondrostoma soetta,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
83,Cobitis taenia,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
84,Cyprinus carpio,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
85,Esox lucius,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
86,Gambusia affinis,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
87,Gasterosteus aculeatus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
88,Gobio gobio,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
89,Gobius niger,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
90,Gymnocephalus cernuus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
91,Gymnocephalus schraetser,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
92,Leuciscus cephalus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
93,Leuciscus cephalus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
94,Leuciscus idus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
95,Leuciscus leuciscus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
96,Lota lota,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
97,Lucioperca lucioperca,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
98,Lutra lutra,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Mammalia
99,Misgurnus fossilis,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
100,Nemachilus barbatulus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
101,Oncorhynchus mykiss,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
102,Pelecus cultratus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
103,Perca fluviatilis,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
104,Perca fluviatilis,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
105,Phoxinus phoxinus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
106,Platichthys flesus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
107,Platichthys flesus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
108,Pomatoschistus minutus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
109,Proterorhinus marmoratus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
110,Pungitius pungitius,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
111,Rutilus frisii,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
112,Rutilus pigus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
113,Toxorhynchites rutilus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
114,Diplochaetus rutilus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
115,Salmo trutta,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
116,Salmo trutta,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
117,Salvelinus alpinus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
118,Scardinius erythrophthalmus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
119,Silurus glanis,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
120,Sander lucioperca,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
121,Thymallus thymallus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
122,Tinca tinca,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
123,Vimba vimba,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
124,Zingel streber,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
125,Zingel zingel,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
126,Abramis brama,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
127,Anguilla anguilla,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
128,Asellus meridionalis,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,NA
129,Barbus tybernus,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,NA
130,Blicca bjoerkna,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
131,Coregonus lavaretus,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
132,Cottus gobio,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
133,Echinogammarus pungens,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,NA
134,Echinogammarus stammeri,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,NA
135,Esox lucius,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
136,Gadus morhua,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
137,Gasterosteus aculeatus,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
138,Leuciscus cephalus,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
139,Leuciscus leuciscus,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
140,Perca fluviatilis,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
141,Pungitius pungitius,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
142,Toxorhynchites rutilus,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,NA
143,Salmo trutta,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
144,Salvelinus alpinus,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
145,Scardinius erythrophthalmus,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
146,Sander lucioperca,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,NA
147,Thymallus thymallus,Acanthocephalus clavula,"Acanthocephalus clavula Dujardin, 1845",Acanthocephalans,Teleostei
148,Alosa pseudoharengus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
149,Ambloplites rupestris,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
150,Amia calva,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Holostei
151,Anguilla rostrata,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
152,Aplodinotus grunniens,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
153,Teleostei,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
154,Caecidotea intermedia,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
155,Campostoma anomalum,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
156,Carassius auratus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
157,Carassius carassius,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
158,Carpiodes velifer,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
159,Catostomus commersonii,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
160,Cichlasoma urophthalma,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
161,Coregonus clupeaformis,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
162,Cottus bairdii,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
163,Cottus cognatus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
164,Cristivomer namaycush,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
165,Cyprinus carpio,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
166,Notropis buccatus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
167,Erimyzon sucetta,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
168,Esox americanus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
169,Esox lucius,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
170,Etheostoma squamiceps,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
171,Fundulus notatus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
172,Ameiurus melas,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
173,Ameiurus natalis,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
174,Ictalurus punctatus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
175,Lepomis cyanellus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
176,Lepomis gibbosus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
177,Lepomis macrochirus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
178,Lepomis megalotis,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
179,Lirceus lineatus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Malacostraca
180,Lota lota,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
181,Microgadus tomcod,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
182,Micropterus salmoides,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
183,Moxostoma erythrurum,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
184,Necturus maculosus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Amphibia
185,Neogobius melanostomus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
186,Notemigonus crysoleucas,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
187,Notophthalmus viridescens,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Amphibia
188,Notropis atherinoides,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
189,Luxilus cornutus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
190,Lythrurus umbratilis,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
191,Oncorhynchus kisutch,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
192,Oncorhynchus mykiss,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
193,Oncorhynchus nerka,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
194,Oncorhynchus tshawytscha,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
195,Osmerus mordax,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
196,Perca flavescens,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
197,Phenacobius mirabilis,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
198,Pimephales notatus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
199,Pimephalus promelas,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
200,Pomoxis annularis,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
201,Pomoxis nigromaculatus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
202,Pontoporeia affinis,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Malacostraca
203,Roccus chrysops,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
204,Oncorhynchus mykiss,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
205,Oncorhynchus mykiss,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
206,Salvelinus fontinalis,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
207,Salvelinus fontinalis,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
208,Salvelinus namaycush,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
209,Semotilus atromaculatus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,Teleostei
210,Sander vitreus,Acanthocephalus dirus,"Acanthocephalus dirus (Van Cleave, 1931)",Acanthocephalans,NA
211,Tinca tinca,Acanthocephalus gracilacanthus,"Acanthocephalus gracilacanthus Meyer, 1932",Acanthocephalans,Teleostei
212,Anguilla anguilla,Acanthocephalus haranti,"Acanthocephalus haranti Golvan & Oliver, 1969",Acanthocephalans,Teleostei
213,Barbus meridionalis,Acanthocephalus haranti,"Acanthocephalus haranti Golvan & Oliver, 1969",Acanthocephalans,Teleostei
214,Pomadasys hasta,Acanthocephalus hastae,"Acanthocephalus hastae Baylis, 1944",Acanthocephalans,Teleostei
215,Teleostei,Acanthocephalus kashmirensis,"Acanthocephalus kashmirensis Datta, 1936",Acanthocephalans,NA
216,Schizopygopsis stoliczkae,Acanthocephalus kashmirensis,"Acanthocephalus kashmirensis Datta, 1936",Acanthocephalans,NA
217,Buergeria buergeri,Acanthocephalus lucidus,"Acanthocephalus lucidus Van Cleave, 1925",Acanthocephalans,Amphibia
